,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,,,,,,,,,,,
1942-43,,Frank Brimsek,,1942-43,,Red Garrett,,1942-43,,C-Clint Smith (-35),,,,,,,,,,,,,,,,
1943-44,,Turk Broda,,1943-44,,Sid Abel,,1943-44,,LW-Alex Kaleta (-28),,,,,,,,,,,,,,,,
1944-45,,Connie Dion,,1944-45,,Roy Conacher,,1944-45,,RW-Grant Warwick (-33),,,,,,,,,,,,,,,,
1945-46,,Sugar Jim Henry,,1945-46,,Harry Watson,,1945-46,,RW-Ike Hildebrand (-34),,,,,,,,,,,,,,,,
1946-47,,Turk Broda,,1946-47,,Red Hamill,,1946-47,,D-Hugh Millar (-30),,,,,,,,,,,,,,,,
1947-48,,Al Rollins,,1947-48,,Butch Bouchard,,1947-48,,C-Syl Apps (-33),,1947-48,,Terry Sawchuk,,,,,,,,,,,,
1948-49,,Al Rollins,,1948-49,,Gaye Stewart,,1948-49,,D-Pat Egan (-41),,1948-49,,Marcel Pronovost,,,,,,,,,,,,
1949-50,,Terry Sawchuk,,1949-50,,Doug Harvey,,1949-50,,D-Ed Kryzanowski (-35),,1949-50,,Jean Beliveau,,,,,,,,,,,,
1950-51,,Glenn Hall,,1950-51,,Red Kelly (Tie),,1950-51,,D-Bill Barilko (-35),,1950-51,,Andy Bathgate,,,,,,,,,,,,
1951-52,,Glenn Hall,,1950-51,,Jimmy Thomson (Tie),,1951-52,,RW-George Gee (-43),,1951-52,,Eric Nesterenko,,,,,,,,,,,,
1952-53,,Jacques Plante,,1951-52,,Wally Hergesheimer,,1952-53,,LW-Ed Sandford (-26),,1952-53,,Eric Nesterenko,,,,,,,,,,,,
1953-54,,Jacques Plante,,1952-53,,Johnny Wilson,,1953-54,,D-Lasse Björn (-41),,1953-54,,Eric Nesterenko,,,,,,,,,,,,
1954-55,,Terry Sawchuk,,1953-54,,Jean Beliveau,,1954-55,,D-Camille Bédard (-46),,1954-55,,Ed Litzenberger,,,,,,,,,,,,
1955-56,,Jacques Plante,,1954-55,,Harry Howell,,1955-56,,LW-Ed Sandford (-38),,1955-56,,Doug Barkley,,,,,,,,,,,,
1956-57,,Glenn Hall,,1955-56,,Paul Ronty,,1956-57,,C-Camille Henry (-40),,1956-57,,Frank Mahovlich,,,,,,,,,,,,
1957-58,,Hank Bassen,,1956-57,,Red Kelly,,1957-58,,RW-Bruce Cline (-47),,1957-58,,Wayne Connelly,,,,,,,,,,,,
1958-59,,Glenn Hall,,1957-58,,Dickie Moore,,1958-59,,C-Stan Mikita (-39),,1958-59,,Gerry Cheevers,,,,,,,,,,,,
1959-60,,Eddie Johnston,,1958-59,,Alex Delvecchio,,1959-60,,LW-Johnny Wilson (-37),,1959-60,,Jacques Laperriere,,,,,,,,,,,,
1960-61,,Glenn Hall,,1959-60,,Marcel Pronovost,,1960-61,,D-Reggie Fleming (-32) Tie,,1960-61,,Phil Esposito,,,,,,,,,,,,
1961-62,,Glenn Hall,,1960-61,,Bobby Hull,,1960-61,,D-Pat Stapleton (-32) Tie,,1961-62,,Don Awrey,,,,,,,,,,,,
1962-63,,Gerry Cheevers,,1961-62,,Jean Beliveau,,1961-62,,C-Alex Delvecchio (-33),,1962-63,,Doug Jarrett,,,,,,,,,,,,
